# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-2.475752670683328382e+00 -1.890126607847796958e+00 3.380143516401813653e+00 -1.252549629712820689e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.525796529039553651e+00 -1.903870141423537721e+00 3.429357321177251450e+00 -1.255449498839717570e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.553265139034693654e+00 -1.910489249471735818e+00 3.455892466705968502e+00 -1.242946423081239482e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.583137714468113355e+00 -1.915868399186066551e+00 3.483779771236505063e+00 -1.224433151113588192e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.635724273519627125e+00 -1.925563653399513742e+00 3.533093459212349075e+00 -1.215982037678703165e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.664701166726902049e+00 -1.930745215387382752e+00 3.560230981589827870e+00 -1.211445883568037063e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.710820653959392423e+00 -1.938878421942880514e+00 3.603436172514856928e+00 -1.203266614424093328e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.746169231761918184e+00 -1.946217432318462670e+00 3.637203132245954595e+00 -1.207613849842108955e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.795837552566743600e+00 -1.954748557580066937e+00 3.683778614410829544e+00 -1.206347685249542057e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.824743988017752727e+00 -1.959193197989034685e+00 3.710656221385514986e+00 -1.201047651134925953e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.853387123275666237e+00 -1.962837215847477168e+00 3.736924770529118867e+00 -1.188204556071532192e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.903875677942362898e+00 -1.968381807419259166e+00 3.782862902546235695e+00 -1.176771267148628786e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.934060290350636979e+00 -1.971345627923476451e+00 3.810204275209108982e+00 -1.159912334931081146e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-2.984345925381236331e+00 -1.974699816016704190e+00 3.855041220373606414e+00 -1.147634874817901274e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
